CLOSED DATE,OPEID,SCHOOL NAME,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE
07/12/2021 ,00392019     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - UW COLLEGEWASHINGTON COUNTY       ,400 UNIVERSITY DRIVE                                                   ,WEST BEND                ,WI        ,53095-0000
07/12/2021 ,00392020     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - UW COLLEGE WAUKESHA COUNTY        ,1500 NORTH UNIVERSITY DRIVE                                            ,WAUKESHA                 ,WI        ,53188-0000
07/12/2021 ,00392025     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - WIND RIVER                        ,533 ETHETE ROAD                                                        ,ETHETE                   ,WY        ,82520-0000
07/12/2021 ,00392026     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - WIND RIVER INSTITUTE              ,3 ETHETE ROAD                                                          ,FORT WASHAKIE            ,WY        ,82514-0000
07/12/2021 ,00392030     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - BADGER MIDDLE SCHOOL              ,727 6TH AVENUE                                                         ,WEST BEND                ,WI        ,53095-0000
07/12/2021 ,00392042     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - APPLETON NORTH HIGH SCHOOL        ,5000 NORTH BALLARD ROAD                                                ,APPLETON                 ,WI        ,54913-0000
07/12/2021 ,00392043     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - COOPERATIVE EDUCATIONAL SERVICE AG,223 WEST PARK STREET                                                   ,GILLETT                  ,WI        ,54125-9414
07/12/2021 ,00392054     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - STEVENS POINT AREA SENIOR HIGH    ,1201 NORTH POINT DRIVE                                                 ,STEVENS POINT            ,WI        ,54481-1114
07/12/2021 ,00392056     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - JANESVILLE PUBLIC SCHOOLS         ,527 SOUTH FRANKLIN STREET                                              ,JANESVILLE               ,WI        ,53548-4997
07/12/2021 ,00392058     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - NEW LONDON HIGH SCHOOL            ,1700 KLATT ROAD                                                        ,NEW LONDON               ,WI        ,54961-8603
07/12/2021 ,00392059     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - JANESVILLE PUBLIC SCHOOLS         ,527 SOUTH FRANKLIN STREET                                              ,JANESVILLE               ,WI        ,53548-4778
07/08/2021 ,02510300     ,BEAUTY TECHNICAL COLLEGE                                              ,BEAUTY TECHNICAL COLLEGE                                              ,605 EAST DOWNING STREET                                                ,TAHLEQUAH                ,OK        ,74465-1506
07/06/2021 ,00252192     ,WEBSTER UNIVERSITY                                                    ,WEBSTER UNIVERSITY -  GREAT LAKES NAVAL BASE                          ,BLDG 617 ROOM 201 2221 MACDONOUGH STREET                               ,GREAT LAKES              ,IL        ,60088-0000
07/06/2021 ,62098842     ,UNIVERSITY OF PHOENIX                                                 ,UNIVERSITY OF PHOENIX - RESOURCE CENTER AT ARLINGTON HIGHLANDS        ,3900 ARLINGTON HIGHLANDS BOULEVARD                                     ,ARLINGTON                ,TX        ,76018-6038
07/01/2021 ,00346110     ,DAKOTA WESLEYAN UNIVERSITY                                            ,DAKOTA WESLEYAN UNIVERSITY - LSS CAMPUS ON EAST BANK                  ,300 EAST 6TH STREET                                                    ,SIOUX FALLS              ,SD        ,57103-0000
06/30/2021 ,00132807     ,UNIVERSITY OF SOUTHERN CALIFORNIA                                     ,UNIVERSITY OF SOUTHERN CALIFORNIA - ORANGE COUNTY CENTER              ,2300 MICHELSON DRIVE                                                   ,IRVINE                   ,CA        ,92612-1351
06/30/2021 ,00162315     ,NORTH IDAHO COLLEGE                                                   ,NORTH IDAHO COLLEGE - AEROSPACE LOCATION                              ,1845 WEST DAKOTA AVENUE                                                ,HAYDEN                   ,ID        ,83835-0000
06/30/2021 ,00178400     ,ANCILLA DOMINI COLLEGE                                                ,ANCILLA DOMINI COLLEGE                                                ,9601 SOUTH UNION ROAD PO BOX 1                                         ,DONALDSON                ,IN        ,46513-0001
06/30/2021 ,00407283     ,NORTHWOOD UNIVERSITY                                                  ,NORTHWOOD UNIVERSITY - ARLINGTON                                      ,2525 E. ABRAM STREET                                                   ,ARLINGTON                ,TX        ,76010-1346
06/30/2021 ,00407284     ,NORTHWOOD UNIVERSITY                                                  ,NORTHWOOD UNIVERSITY - UPS DALLAS                                     ,2925 MERRELL ROAD                                                      ,DALLAS                   ,TX        ,75229-4905
06/30/2021 ,00407286     ,NORTHWOOD UNIVERSITY                                                  ,NORTHWOOD UNIVERSITY - TEXAS PROGRAM CENTER                           ,207 N. CANNADY DRIVE                                                   ,CEDAR HILL               ,TX        ,75104-0058
06/30/2021 ,00407287     ,NORTHWOOD UNIVERSITY                                                  ,NORTHWOOD UNIVERSITY - UPS INDEPENDENCE PROGRAM CENTER                ,13700 INDEPENDENCE PARKWAY                                             ,FORT WORTH               ,TX        ,76177-4002
06/30/2021 ,00407288     ,NORTHWOOD UNIVERSITY                                                  ,NORTHWOOD UNIVERSITY - UPS SWEETWATER PROGRAM CENTER                  ,8330 SWEETWATER LANE                                                   ,HOUSTON                  ,TX        ,77038-3616
06/30/2021 ,01014220     ,TOURO COLLEGE                                                         ,TOURO COLLEGE - SCHOOL OF HEALTH SCIENCES BAY SHORE                   ,1700 UNION BOULEVARD                                                   ,BAY SHORE                ,NY        ,11706-0000
06/30/2021 ,03032500     ,ALABAMA STATE COLLEGE OF BARBER STYLING                               ,ALABAMA STATE COLLEGE OF BARBER STYLING                               ,753 MAIN STREET                                                        ,GARDENDALE               ,AL        ,35071-4615
06/30/2021 ,03237300     ,ANSON COLLEGE OF COSMETOLOGY                                          ,ANSON COLLEGE OF COSMETOLOGY                                          ,1217 EAST CASWELL STREET                                               ,WADESBORO                ,NC        ,28170-2147
06/30/2021 ,03237301     ,ANSON COLLEGE OF COSMETOLOGY                                          ,ANSON COLLEGE OF COSMETOLOGY - ACC & BARBERING NOGREASE BARBER COLLEGE,3731 NORTH SHARON AMITY ROAD                                           ,CHARLOTTE                ,NC        ,28205-5815
06/29/2021 ,10252105     ,WEBSTER UNIVERSITY                                                    ,WEBSTER UNIVERSITY - SOUTHERN MARYLAND HIGHER EDUCATION CENTER        ,44219 AIRPORT ROAD                                                     ,CALIFORNIA               ,MD        ,20619-2010
06/29/2021 ,10252129     ,WEBSTER UNIVERSITY                                                    ,WEBSTER UNIVERSITY - UNIVERSITY CENTER OF LAKE COUNTY                 ,1200 UNIVERSITY CENTER DRIVE                                           ,GREYSLAKE                ,IL        ,60030-0000
06/29/2021 ,12098875     ,UNIVERSITY OF PHOENIX                                                 ,UNIVERSITY OF PHOENIX - LIVERMORE LEARNING CENTER (LC)                ,2481 CONSTITUTION DRIVE                                                ,LIVERMORE                ,CA        ,94551-7573
06/28/2021 ,00190916     ,CLOUD COUNTY COMMUNITY COLLEGE                                        ,CLOUD COUNTY COMMUNITY COLLEGE - WIND ENERGY TECHNOLOGY               ,1530 LINCOLN STREET                                                    ,CONCORDIA                ,KS        ,66901-4830
06/26/2021 ,01072733     ,DEVRY UNIVERSITY                                                      ,DEVRY UNIVERSITY - MERRILLVILLE                                       ,8488 GEORGIA ST.                                                       ,MERRILLVILLE             ,IN        ,46410-1735
